Reference Descriptor,Reference,Descriptor,Primary,How to Prepare,Suggested Brands
Woody,"FlavorActiV “papery""(trans-2-nonenal)",Woody,Other,Prepare according to FlavorActiV package instructions.,FlavorActiv
Musty/earthy,"FlavorActiV “wet earthy"" (2-ethyl fenchol)",Musty/earthy,Other,Prepare according to FlavorActiV package instructions.,FlavorActiv
Musty/earthy,"FlavorActiV “dry earth"" (geosmin)",Musty/earthy,Other,Prepare according to FlavorActiV package instructions.,FlavorActiv
Musty/earthy,"FlavorActiV “moldy-damp"" (2, 4, 6 trichloroanisole)",Musty/earthy,Other,Prepare according to FlavorActiV package instructions.,FlavorActiv
Chemical,"FlavorActiV “medicinal (o-cresol)"" (Methyl Phenol)",Chemical,Other,Prepare according to FlavorActiV package instructions.,FlavorActiv
Chemical,"FlavorActiV “diesel/motor fuel"" (p-cymene)",Chemical,Other,Prepare according to FlavorActiV package instructions.,FlavorActiv
Spice,"FlavorActiV “phenolic"" [cloves-like] (4-vinyl guiacol)",Spice,Spice,Prepare according to FlavorActiV package instructions.,FlavorActiv
Nutty,"FlavorActiV “almond"" (benzaldehyde)",Nutty,Nutty/Cocoa,Prepare according to FlavorActiV package instructions.,FlavorActiv
Vanilla/vanillin,"FlavorActiV “vanilla"" (vanillin)",Vanilla/vanillin,Sweet,Prepare according to FlavorActiV package instructions.,FlavorActiv
Floral,"FlavorActiV “rose/floral"" (geraniol)",Floral,Floral,Prepare according to FlavorActiV package instructions.,FlavorActiv
Floral,FlavorActiV “indole”,Floral,Floral,Prepare according to FlavorActiV package instructions.,FlavorActiv
